Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1992, eco2, 0, 172.91, 11.93, 75, 276, 0, 
1993, eco2, 0, 127.21, 12.24, 78, 282, 0, 
1994, eco2, 0, 176.23, 12.39, 68, 304, 0, 
1995, eco2, 0, 161.43, 12.18, 65, 288, 0, 
1996, eco2, 0, 167.03, 11.63, 85, 291, 0, 
1997, eco2, 0, 149.77, 11.77, 46, 290, 0, 
1998, eco2, 0, 159.04, 13.47, 28, 289, 0, 
1999, eco2, 0, 131.77, 12.82, 80, 306, 0, 
2000, eco2, 0, 121.17, 12.16, 59, 283, 0, 
2001, eco2, 0, 123.51, 12.55, 77, 275, 0, 
2002, eco2, 0, 143.47, 12.96, 68, 291, 0, 
2003, eco2, 0, 175.44, 12.3, 57, 321, 0, 
2004, eco2, 0, 165.09, 12.73, 60, 308, 0, 
2005, eco2, 0, 148.15, 12.62, 70, 297, 0, 
2006, eco2, 0, 137.03, 12.86, 68, 285, 0, 
2007, eco2, 0, 98.88, 13.16, 62, 291, 0, 
2008, eco2, 0, 119.25, 12.28, 72, 279, 0, 
2009, eco2, 0, 178.65, 12.16, 65, 288, 0, 
2010, eco2, 0, 130.39, 12.18, 73, 280, 0, 
2011, eco2, 0, 148.76, 13.37, 59, 277, 0, 
2012, eco2, 0, 133.15, 13.89, 51, 289, 0, 
2013, eco2, 0, 199, 12.16, 85, 291, 0, 
2014, eco2, 0, 129.54, 11.89, 79, 285, 0, 
2015, eco2, 0, 167.62, 13.24, 67, 365, 0, 
2016, eco2, 0, 105.9, 13.49, 57, 301, 0, 
2017, eco2, 0, 105.9, 13.49, 57, 301, 0, 
2018, eco2, 0, 105.9, 13.49, 57, 301, 0, 
2019, eco2, 0, 105.9, 13.49, 57, 301, 0, 
2020, eco2, 0, 105.9, 13.49, 57, 301, 0, 
2021, eco2, 0, 105.9, 13.49, 57, 301, 0, 
2022, eco2, 0, 105.9, 13.49, 57, 301, 0, 
2023, eco2, 0, 105.9, 13.49, 57, 301, 0, 
2024, eco2, 0, 105.9, 13.49, 57, 301, 0, 
2025, eco2, 0, 105.9, 13.49, 57, 301, 0, 
2026, eco2, 0, 105.9, 13.49, 57, 301, 0, 
2027, eco2, 0, 105.9, 13.49, 57, 301, 0, 
2028, eco2, 0, 105.9, 13.49, 57, 301, 0, 
2029, eco2, 0, 105.9, 13.49, 57, 301, 0, 
2030, eco2, 0, 105.9, 13.49, 57, 301, 0, 
2031, eco2, 0, 105.9, 13.49, 57, 301, 0, 
2032, eco2, 0, 105.9, 13.49, 57, 301, 0, 
2033, eco2, 0, 105.9, 13.49, 57, 301, 0, 
2034, eco2, 0, 105.9, 13.49, 57, 301, 0, 
2035, eco2, 0, 105.9, 13.49, 57, 301, 0, 
2036, eco2, 0, 105.9, 13.49, 57, 301, 0, 
2037, eco2, 0, 105.9, 13.49, 57, 301, 0, 
2038, eco2, 0, 105.9, 13.49, 57, 301, 0, 
2039, eco2, 0, 105.9, 13.49, 57, 301, 0, 
2040, eco2, 0, 105.9, 13.49, 57, 301, 0, 
2041, eco2, 0, 105.9, 13.49, 57, 301, 0, 
