SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,NumberCellsSeverity1,NumberCellsSeverity2,NumberCellsSeverity3,
1, 2080, 52, 470, 1205, 26, 94, 3694598, 92051, 897234, 2602, 0, 0, 
2, 2328, 74, 435, 1334, 43, 87, 4203751, 137845, 858446, 2797, 40, 0, 
3, 2049, 75, 560, 1157, 40, 112, 4021975, 113926, 1100738, 2603, 81, 0, 
4, 1985, 45, 475, 1202, 33, 95, 4129169, 110537, 825757, 2361, 144, 0, 
5, 2385, 61, 525, 1338, 39, 105, 4874417, 115632, 1012225, 2776, 195, 0, 
6, 1935, 44, 160, 1147, 27, 32, 4308830, 82203, 325912, 1953, 186, 0, 
7, 1975, 35, 560, 1146, 24, 112, 4573357, 130757, 1097995, 2333, 237, 0, 
8, 1967, 61, 520, 1143, 26, 104, 4706066, 145140, 1057287, 2272, 276, 0, 
9, 1951, 60, 290, 1174, 23, 58, 5006972, 102985, 582351, 2017, 284, 0, 
10, 2163, 72, 560, 1277, 42, 112, 5737187, 217745, 1012700, 2402, 393, 0, 
11, 1835, 71, 305, 1091, 40, 61, 14504779, 556735, 753050, 307, 1904, 0, 
12, 2177, 62, 560, 1212, 35, 112, 16766404, 397913, 1374036, 566, 2233, 0, 
13, 2165, 87, 560, 1234, 51, 112, 16630602, 751882, 1502771, 569, 2243, 0, 
14, 2274, 45, 556, 1235, 28, 112, 17364521, 364932, 1314506, 562, 2313, 0, 
15, 2322, 95, 560, 1236, 44, 112, 17675441, 698070, 1261033, 571, 2406, 0, 
16, 2198, 63, 310, 1306, 35, 62, 16675836, 512925, 774048, 320, 2251, 0, 
17, 2386, 77, 560, 1390, 46, 112, 18053842, 636040, 1338188, 565, 2458, 0, 
18, 2188, 58, 560, 1213, 33, 112, 16844513, 481953, 1376087, 573, 2233, 0, 
19, 2320, 74, 525, 1340, 40, 105, 17395128, 548846, 1368802, 535, 2384, 0, 
20, 1902, 39, 280, 1138, 27, 56, 14684830, 270120, 696207, 283, 1938, 0, 
21, 2061, 49, 560, 1156, 28, 112, 18132994, 474135, 1521096, 572, 2098, 0, 
22, 2001, 75, 560, 1180, 35, 112, 17588232, 685563, 1517820, 569, 2067, 0, 
23, 1993, 52, 560, 1160, 33, 112, 17369165, 485006, 1677621, 573, 2032, 0, 
24, 2124, 82, 560, 1238, 47, 112, 17899430, 670352, 1627633, 573, 2193, 0, 
25, 1895, 55, 160, 1147, 33, 32, 16348503, 493652, 463847, 179, 1931, 0, 
26, 2319, 77, 435, 1331, 43, 87, 20216610, 601184, 1152178, 442, 2389, 0, 
27, 2042, 62, 560, 1174, 38, 112, 17959780, 545792, 1599966, 569, 2095, 0, 
28, 1814, 62, 555, 1075, 38, 111, 15477844, 572433, 1604916, 570, 1861, 0, 
29, 1938, 66, 160, 1153, 36, 32, 16339654, 495250, 461178, 170, 1994, 0, 
30, 1818, 54, 100, 1085, 33, 20, 15705431, 511557, 267723, 109, 1863, 0, 
